GRB,GRB_key,T90,z,T90_corr,z_status,z_source,z_raw,BAT_fluence,Time [UT],Trigger Number,Other Observatory Detections,z_method,z_uncertainty,z_ref,z_swift_raw,z_redshift_raw
130427A,130427A,162.83,0.3399,121.52399432793491,accepted,redshift_list,0.3399,3100.0,07:47:57,554620,"ISON-NM (0.45m), Palomar 60"", Faulkes North (2m), PAIRITEL (1.3m), MITSuME (50cm), Gemini-North, iTelescope (T11, T21, T30), Weihai (1m), HJT (1.5m), MAXI/GSC, GMG (2.4m), Zadko (100cm), Fermi (LAT, GBM), AZT-11, T100 (1.0m), RAPTOR, NOT (2.5m), VLA @ 5.8 GHz, SNUO (0.6m), SOAO (0.6m), BOAO, CARMA @ 85 GHz, INTEGRAL, Kanata (1.5m), Konus-Wind, ARIES Nainital (1.04m), Stansbury Park (0.35m), VLT, TNT (80cm), CARMA @ 93 GHz, Nayuta (2m), PROMPT (16""), CrAO RT-22 @ 36 GHz, SARA (0.9m),  Challis Observatory (0.4m), Murikabushi (1m), AGILE, GMRT @ 1390 GHz, ABT (10""), VLA @ 20-22 GHz, KAIT (0.76m), Murikabushi (1m), Pan-STARRS 1 (1.8 m), RHESSI, Tautenburg (1.43m), Sandvreten Observatory (0.45m), NOT, Watcher (40cm), LBT, Keck, William Herschel (4.2m), AZT-33IK, GTC (10.4m), HST, BTA (6m), Konkoly Observatory",ba,N/A,"""Levan A.J. et al. GCN Circ. 14455; Xu D. et al. GCN Circ. 14478; Flores H. et al. GCN Circ. 14491; Garnavich P. GCN Circ. 14605; Wiersema K. et al. GCN Circ. 14617; Sokolov V.V. et al. GCN Circ. 14669; *Xu D. et al. ApJ 776 98 (2013); Perley D.A. et al. ApJ 781 37 (2014)""","0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)",0.3399
061021,061021,46.2,0.3463,34.31627423308326,accepted,redshift_list,0.3463,29.6,15:39:08,234905,"VLT, Konus-Wind",ba,N/A,"""*Fynbo J.P.U. et al. ApJS 185 526 (2009); Jakobsson P. et al. ApJ 752 62 (2012) """,0.3463 (Fynbo),0.3463
060428B,060428B,57.9,0.348,42.95252225519288,accepted,redshift_list,0.348,8.23,08:54:39,207399,"MAGNUM, KAIT (0.76m), MDM (1.3m), Shajn (2.6m)",he,N/A,"""Perley D.A. et al. AIPC 937 526 (2007)""",,0.348
210726A,210726A,0.39,0.35,0.28888888888888886,accepted,redshift_list,0.35,0.45,19:19:03,1061687,"Fermi (GBM), Chandra, VLA @ 6 & 10 GHz",hp,+0.15 -0.15,Watson et al. GCN Circ. 30534,,0.35
140903A,140903A,0.3,0.351,0.22205773501110287,accepted,redshift_list,0.351,1.4,15:00:30,611599,"DCT (4.3m), Palomar (60""), VLA @ 6 GHz, Faulkes North (2m), NOT (2.5m), Gemini-North, Chandra, GMRT @ 1390 MHz",he,+0.001 -0.001,"""Cucchiara et al. GCN Circ. 16774 (Gemini-North); *Troja et al. ApJL 822 L8 (2016)""","0.351 (Gemini-North: absorption, tentative host redshift)",0.351
130603B,130603B,0.18,0.3565,0.13269443420567636,accepted,redshift_list,0.3565,6.3,15:49:14,557310,"WHT, NOT (2.5m), GTC, Magellan (6.5m), Tubitak National Observatory (1.0m), Observatorio de Sierra Nevada (1.5m), Gemini-South, VLA @ 5.8 GHz, VLT, Palomar (60""), HJT (1.5m), Konus-Wind, HST, XMM-Newton",ba,N/A,"""Thoene C.C. et al. GCN Circ. 14744; Foley R.J. et al. GCN Circ. 14745; Sanchez-Ramirez R. et al. GCN Circ. 14747; Cucchiara A. et al. GCN Circ. 14748; Xu D. et al. GCN Circ. 14757; Cucchiara A. et al. ApJ 777 94 (2013); *de Ugarte Postigo A. et al. A&A 563 A62 (2014)""","0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)",0.3565
071227,071227,1.8,0.381,1.3034033309196236,accepted,redshift_list,0.381,2.2,20:13:47,299787,"Konus-Wind, VLT, Suzaku",he,N/A,"""D'Avanzo P. et al. GCN Circ. 7152; Berger E. et al. GCN Circ. 7154; *D'Avanzo P. et al. A&A 498 711 (2009)""","0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)",0.381
120714B,120714B,159.0,0.3984,113.70137299771166,accepted,redshift_list,0.3984,12.0,21:18:46.57,526642,"VLT, MPG/ESO (2.2m)",ba,N/A,"""Fynbo J.P.U. et al. GCN Circ. 13477""",0.3984 (VLT: absorption),0.3984
200522A,200522A,0.62,0.4,0.4428571428571429,review_numeric,swift_table,0.4 (SDSS: photometric),1.1,11:41:34,973628,"VLA @ 6 GHZ (possibly from host), LCO (1m), Gemini-North, HST",,,,0.4 (SDSS: photometric),
061210,061210,85.3,0.4095,60.5179141539553,accepted,redshift_list,0.4095,11.1,12:20:39,243690,Suzaku,he,N/A,"""Cenko S.B. et al. GCN Circ. 5946; *Berger E. et al. ApJ 664 1000 (2007)""",0.41 possible host redshift (Keck: emission),0.4095
