GRB_x,z,GRB_clean,GRB_y,Time [UT],Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],UVOT RA (J2000),UVOT Dec (J2000),UVOT Time to First Observation [sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References,T90,T90_corr
130603B,0.356,130603B,130603B,15:49:14,557310,172.222,17.063,0.18,6.3,11:28:48.15,17:04:16.9,59.05,,,,62,V>19.8,"WHT, NOT (2.5m), GTC, Magellan (6.5m), Tubitak National Observatory (1.0m), Observatorio de Sierra Nevada (1.5m), Gemini-South, VLA @ 5.8 GHz, VLT, Palomar (60""), HJT (1.5m), Konus-Wind, HST, XMM-Newton","0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)",r=20.94 (WHT),,"BAT: GCN 14735; GCN 14741|XRT: GCN 14735; GCN 14739; GCN 14749; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 14735; GCN 14759|Radio: GCN 14751 (VLA)|Redshift: GCN 14744 (GTC); GCN (Magellan); GCN 14747 (GTC); GCN 14748 (Gemini-South); GCN 14757 (VLT)|Host: GCN 14742 (WHT); GCN 14743 (NOT); GCN 14744 (GTC); GCN (Magellan); GCN 14747 (GTC); GCN 14748 (Gemini-South); GCN 14757 (VLT); GCN 14893 (HST)|Other: GCN Report 442.1",0.18,0.13274336283185842
130427A,0.338,130427A,130427A,07:47:57,554620,173.15,27.706,162.83,3100,11:32:32.63,27:41:51.7,140.19,43800,,,147,V=12.1,"ISON-NM (0.45m), Palomar 60"", Faulkes North (2m), PAIRITEL (1.3m), MITSuME (50cm), Gemini-North, iTelescope (T11, T21, T30), Weihai (1m), HJT (1.5m), MAXI/GSC, GMG (2.4m), Zadko (100cm), Fermi (LAT, GBM), AZT-11, T100 (1.0m), RAPTOR, NOT (2.5m), VLA @ 5.8 GHz, SNUO (0.6m), SOAO (0.6m), BOAO, CARMA @ 85 GHz, INTEGRAL, Kanata (1.5m), Konus-Wind, ARIES Nainital (1.04m), Stansbury Park (0.35m), VLT, TNT (80cm), CARMA @ 93 GHz, Nayuta (2m), PROMPT (16""), CrAO RT-22 @ 36 GHz, SARA (0.9m),  Challis Observatory (0.4m), Murikabushi (1m), AGILE, GMRT @ 1390 GHz, ABT (10""), VLA @ 20-22 GHz, KAIT (0.76m), Murikabushi (1m), Pan-STARRS 1 (1.8 m), RHESSI, Tautenburg (1.43m), Sandvreten Observatory (0.45m), NOT, Watcher (40cm), LBT, Keck, William Herschel (4.2m), AZT-33IK, GTC (10.4m), HST, BTA (6m), Konkoly Observatory","0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)","Irregular galaxy, with a broadly elliptical shape (William Herschel).",This is an extremely bright burst in all three instruments.,"BAT: GCN 14448; GCN 14470|XRT: GCN 14448; GCN 14485; GCN 14502; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 14448; GCN 14472|Radio: GCN 14480 (VLA); GCN 14482 (CARMA); GCN 14494 (CARMA); GCN 14505 (RT-22); GCN 14519 (GMRT); GCN 14522 (VLA)|Redshift: GCN 14455 (Gemini-North); GCN 14478 (NOT); GCN 14491 (VLT); GCN 14605 (LBT); GCN 14617 (William Herschel); GCN 14669 (BTA)|Host: GCN 14617 (William Herschel)",162.83,121.6965620328849
130408A,3.757,130408A,130408A,21:51:38,553132,134.398,-32.363,28,23,08:57:37.30,-32:21:39.5,149.89,,08:57:37.30,-32:21:38.9,155,V=15.75,"Liverpool (2m), MPG/ESO  (2.2m), VLT, Gemini-South, Konus-Wind, CTIO (1.3m), Skynet, Suzaku",3.758 (VLT: absorption)|3.757 (Gemini-South),,,"BAT: GCN 14361; GCN 14373|XRT: GCN 14361; GCN 14367; GCN 14369; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 14363; GCN 14370|Redshift: GCN 14365 (VLT); GCN 14366 (Gemini-South)|Other: GCN Report 439.1",28.0,5.88606264452386
130215A,0.58,130215A,130215A,01:31:30,548760,43.486,13.387,65.7,54,,,,,,,,,"ROTSE-IIIb, Skynet, Lick Shane (3m), Palomar (60""), CARMA @ 93 GHz, REM, Harold Johnson Telescope (1.5m), TAROT, Xinglong (2.16m), iTelescope T11, GMG (2.4m), RAPTOR, Fermi (GBM), MITSuME (50cm), MPG/ESO (2.2m), Palomar (200""), Palomar (48""), Suzaku, GTC (10.4)",0.597 (Lick Shane: absorption)|0.58 (GTC: derived),,"Due to a Moon observing constraint, Swift could not slew to the BAT position, thus there are no XRT or UVOT data for this trigger.",BAT: GCN 14204; GCN 14214|Radio: GCN 14210 (CARMA)|Redshift: GCN 14207 (Lick Shane); GCN 14303 (GTC)|Other: GCN Report 420.1,65.7,41.58227848101266
121027A,1.77,121027A,121027A,07:32:29,536831,63.598,-58.839,62.6,20,04:14:23.47,-58:49:46.8,67.38,610,,,77,V>19.5,"MAXI/GSC, Anglo-Australian Telescope, MPG/ESO (2.2m), CTIO (1.3m), Gemini-South, VLT",1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption),,UVOT: Possible Detection,"BAT: GCN 13906; GCN 13907; GCN 13910|XRT: GCN 13906; GCN 13907; GCN 13916; GCN 13921; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13906; GCN 13907; GCN 13932|Redshift: GCN 13929 (Gemini-South); GCN 13930 (VLT); arXiv:1302.2352v1",62.6,22.59927797833935
120811C,2.67,120811C,120811C,15:34:52,530689,199.69,62.297,26.8,30,13:18:43.94,62:18:02.1,68.67,297,13:18:43.82,62:18:02.8,76,V=18.49,"MASTER II (Amur), RTT150, GTC (10.4m), NOT (2.5m), MASTER II (Tunka), Fermi (GBM), ISON-NM (0.45m), ISON-Kitab (0.4m)",2.671 (GTC: absorption)|2.67 {NOT: absorption),,,"BAT: GCN 13622; GCN 13634|XRT: GCN 13622; GCN 13625; GCN 13630; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13622; GCN 13629|Redshift: GCN 13628 (GTC); GCN 13632 (NOT)|Other: GCN Report 378.1",26.8,7.302452316076295
120712A,4.15,120712A,120712A,13:42:27,526351,169.598,-20.051,14.7,18,11:18:21.22,-20:02:02.3,90.86,,11:18:21.25,-20:02:01.7,95,V=16.79,"MPG/ESO (2.2m), Gemini-South, VLT, Fermi (GBM)",4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption),,,"BAT: GCN 13454; GCN 13455|XRT: GCN 13454; GCN 13456; GCN 13459; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13454; GCN 13461|Redshift: GCN 13457 (MPG/ESO); GCN 13458 (Gemini-South); GCN 13460 (VLT)",14.7,2.8543689320388346
120422A,0.283,120422A,120422A,07:12:03,520658,136.915,13.974,5.35,2.3,09:07:38.42,14:01:06.0,95.07,312,09:07:38.4,14:01:07.6,104,V>19.4,"Gemini-North (8m), Zadko (100cm), NOT, EVLA @ 6 and 22 GHz, MPI/ESO (2.2m), VLT, Palomar (200"")",0.28 (Gemini-North: emission)|0.283 (VLT: emission),,,"BAT: GCN 13243; GCN 13246|XRT: GCN 13243; GCN 13247; GCN 13249; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13243; GCN 13248|Radio: GCN 13254 (EVLA)|Redshift: GCN 13251 (Gemini-North); GCN 13257 (VLT)",5.35,4.169914263445051
120404A,2.88,120404A,120404A,12:51:02,519380,235.002,12.883,38.7,16,15:40:02.34,12:53:05.9,130.02,73.4,15:40:02.29,12:53:06.3,138,V=17.69,"Faulkes North (2m), Gemini-North, TNT, MITSuME (50cm), Murikabushi (1m), VLT/UT2, Mt John University Observatory (61cm), MPG/ESO (2.2m), MASTER II, EVLA @ 22 GHz, ARIES (1.04m), ISON-Blagoveschensk Observatory (0.25m and 0.4m), Sayan Observatory",2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption),,,"BAT: GCN 13208; GCN 13220|XRT: GCN 13208; GCN 13218; GCN 13222; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13208; GCN 13226|Radio: GCN 13231 (EVLA)|Redshift: GCN 13213 (Gemini-North); GCN 13217 (Gemini-North); GCN 13227 (VLT/UT2)|Other: GCN Report 372.1",38.7,9.974226804123713
120327A,2.813,120327A,120327A,02:55:16,518731,246.854,-29.415,62.9,36,16:27:27.50,-29:24:54.1,75.61,541,16:27:27.48,-29:24:53.74,141,V=15.68,"TAROT (25cm), Liverpool (2m), Skynet/PROMPT, REM, MPI/ESO (2.2m), IAC80 (82cm), Gemini-South, VLT/UT2, Otto-Struve (2.1m), Watcher (40cm), GTC (10.4), NOT, Murikabushi (1m), Zadko (100cm), ATCA @ 34 GHz, CTIO (1.3m)",2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption),,,"BAT: GCN 13123; GCN 13137|XRT: GCN 13123; GCN 13135; GCN 13141; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 13123; GCN 13138|Radio: GCN 13180 (ATCA)|Redshift: GCN 13133 (Gemini-South); GCN 13134 (VLT/UT2); GCN 13146 (GTC)",62.9,16.496197220036716
120119A,1.73,120119A,120119A,04:04:30.21,512035,120.029,-9.076,253.8,170,08:00:06.91,-09:04:54.3,53.29,1060,08:00:06.93,-09:04:53.7,62,V>19.1,"PAIRITEL (1.3m), Liverpool (2m), MPI/ESO (2.2m), PROMPT, Gemini-South (8m), Lick (3m), MMT (6.5m), ISON-NM (0.45m), Konus-Wind, Fermi (GBM), CTIO (1.3m), REM (60cm), TAROT (25cm), GRT,  Mt. Lemmon (1m)",1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption),,,"BAT: GCN 12859; GCN 12884|XRT: GCN 12859; GCN 12876; GCN 12877; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 12859; GCN 12880|Redshift: GCN 12865 (Gemini-South); GCN 12866 (Lick); GCN 12867 (MMT)",253.8,92.96703296703298
111228A,0.716,111228A,111228A,15:44:43,510649,150.063,18.284,101.20,85,10:00:16.10,18:17:52.2,145.07,882,10:00:16.01,18:17:51.8,155,V=17.73,"TNT, TAROT (25cm), MITSuME (50cm), Fermi (GBM), ARIES NainiTal (1.04m), Asiago Telescope (1.82m), NOT (2.5m), DAO (16""), IAC80 (82cm), GRAS 017 (17""), MASTER II, MPG/ESO (2.2m), MMT (6.5m), PAIRITEL (1.3m), Gemini-South, TNG, GMG (2.4m), T100 (1.0m), VLT, Palomar (60""), Liverpool (2m), PROMPT, CTIO (1.3), Kanata (1.5m), Konus-Wind, Mt. Lemmon (1m), Devasthal Fast Optical Telescope (1.3m), ISON-NM (0.45m), TNG (3.6m)",0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption),,,"BAT: GCN 12737; GCN 12749|XRT: GCN 12737; GCN 12747; GCN 12766; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 12737; GCN 12752|Redshift: GCN 12759 (MMT); GCN 12761 (Gemini-South); GCN 12764 (NOT); GCN12770 (VLT)|Other: GCN Report 367.1",101.2,58.97435897435898
111207A,20191.0,111207A,111207A,14:16:59,Ground Analysis|20191,92.924,-39.504,3,,,,,,,,,,,,,,BAT: GCN 12629,3.0,0.00014857369255150555
111008A,4.9898,111008A,111008A,22:12:58,505054,60.439,-32.708,63.46,53,04:01:48.23,-32:42:33.5,,401,,,99,V>19.0,"Gemini-South, NOT (2.5m), La Silla (2.2m), VLT, IAC80, Konus-Wind, EVLA @ 22 GHz, miniTAO (1.0m)",5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption),,,"BAT: GCN 12423; GCN 12424|XRT: GCN 12423; GCN 12425; GCN 12430; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 12423; GCN 12434|Radio: GCN 12436 (EVLA)|Redshift: GCN 12429 (Gemini-South); GCN 12431 (VLT)",63.46,10.594677618618318
110709B,456969.0,110709B,110709B,21:32:39,456967|456969,164.668,-23.47,55.6,94,10:58:37.09,-23:27:17.6,,137,,,91,V>21.5,"Konus-Wind, Suzaku, EVLA @ 5.8 GHz",,,"BAT: detected renewed activity at T+11 min (trigger 456969). RA: 164.655, Dec: -23.456. See GCN 12144 for details.|BATSS: burst detection from Swift-BAT slew data (GCN 12143)|UVOT: no detection","BAT: GCN 12122; GCN 12124; GCN 12130; GCN 12143; GCN 12144|XRT: GCN 12122; GCN 12136; GCN 12142; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 12122; GCN 12140; GCN 12157|Radio: GCN 12190 (EVLA)",55.6,0.00012167100684946496
110503A,1.61,110503A,110503A,17:35:45,452685,132.799,52.211,10.0,100,08:51:06.28,52:12:26.8,93.63,205,08:51:06.21,52:12:27.6,212,V=16.23,"GTC (10.4m), NOT, TLS (2m/1.34m), TNG, SARA (0.9m), EVLA @ 19.2 GHz and 24.5 GHz, Mt. Lemmon (1.0m), CrAO (Shajn), Konus-Wind, AAVSO (0.2m and 0.35m), TAROT (25cm)","1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)",,,"BAT: GCN 11991; GCN 11995|XRT: GCN 11991; GCN 11992; GCN 11999; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11991; GCN 12000|Radio: GCN 12003 (EVLA)|Redshift: GCN 11993 (GTC); GCN 11997 (TNG)",10.0,3.8314176245210723
110422A,1.77,110422A,110422A,15:41:55,451901,112.057,75.1,25.9,410,07:28:11.33,75:06:24.4,814.50,62.1,,,822,V=18.72,"AZT-33IK, MASTER II, NOT, Zeiss-1000, TNG (3.6m), THO (14""), McDonald Observatory (2.1m), Konus-Wind, Ishigakijima Astronomical Observatory (1m), CrAO (AZT-11), Suzaku, TNG, GTC (10.4m), CrAO (ZTSh), Herschel",1.77 (TNG: absorption)| 1.770 (GTC: absorption),,,"BAT: GCN 11957; GCN 11959|XRT: GCN 11957; GCN 11965; GCN 11968; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11957; GCN 11969|Redshift: GCN 11977 (TNG); GCN 11978 (GTC)|Other: GCN Report 362.1",25.9,9.350180505415162
110319B,20158.0,110319B,110319B,19:34:02,Ground Analysis|20158,326.088,-56.774,14.5,10,21:44:22.75,-56:46:56.7,,,,,27685,V>20.0,,,,UVOT: no detection,"BAT: GCN 11813; GCN 11818|XRT: GCN 11814; GCN 11820; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11817",14.5,0.0007192817104023017
110205A,2.22,110205A,110205A,02:02:41,444643,164.603,67.533,257,170,10:58:31.05,67:31:30.2,155.40,1400,10:58:31.12,67:31:31.2,164,V=15.76,"TAROT (25cm), ROTSE-IIIb, Liverpool, Lick (3m), PAIRITEL (1.3m), GRAS 005, FLWO (1.5m), NOT (2.5m), Zeiss-600, Mt. Lemmon (1.0m), Newcastle Observatory (0.4m), Obs. Chante-Perdix (0.5m), Mt. Lulin (1.0m), MITSuME (50cm), Murikabushi (1m), Lightbuckets (0.61m), Konus-Wind, Himalayan Chandra Telescope (2m), Sayan (AZT-33IK), Suzaku, Calar Alto (2.2m), Konkoly Observatory (60/90cm), EVLA @ 22 GHz","1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)",,,"BAT: GCN 11629; GCN 11646; GCN 11692|XRT: GCN 11629; GCN 11639; GCN 11644; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11629; GCN 11634; GCN 11649|Radio: GCN 11740 (EVLA)|Redshift: GCN 11635 (Lick); GCN 11638 (FLWO); GCN 11640 (NOT)",257.0,79.81366459627328
101225A,0.4,101225A,101225A,18:37:45,441015,0.2037,44.5739,1088.0,19,00:00:47.51,44:36:01.1,1383.04,236,,,1387,V>21.40,"NOT, WHT (4.2m), Calar Alto (1.23m), Palomar (60""), MMT (6.5m), McDonald Observatory (2.1m), Gemini North",0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission),"R = 24.1 (NOT, possible host)",,"BAT: GCN 11493; GCN 11500; GCN 11504; GCN 11570|XRT: GCN 11493; GCN 11497; GCN 11498; GCN 11501; GCN 11570; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11499|Redshift: GCN 11522 (Keck I); arXiv:1302.2352v1|Host: GCN 11519 (NOT)|Other: GCN Report 314.1",1088.0,777.1428571428572
100816A,0.8035,100816A,100816A,00:37:51,431764,351.738,26.568,2.9,20,23:26:57.58,26:34:42.2,82.85,131,23:26:57.56,26:34:42.,91,V=21.56,"TNG (3.6m), TAROT (25cm), McDonald Observatory (2.1m), Gemini-North, Calar Alto (1.23m), Lulin (1m), NOT, VLT, Fermi (GBM), GTC (10.4m), Konus-Wind",0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption),,,"BAT: GCN 11102; GCN 11111; GCN 11113|XRT: GCN 11102; GCN 11110; GCN 11114; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11102; GCN 11115|Redshift: GCN 11116 (Gemini-North); GCN 11123 (VLT & Gemini-North); GCN 11125 (GTC)|Other: GCN Report 300.1",2.9,1.6079844746326586
100728B,2.106,100728B,100728B,10:31:55,430172,44.051,0.296,12.1,17,02:56:13.50,00:16:51.8,97.05,,02:56:13.467,00:16:52.18,100,V=20.19,"KAIT, Lick (1.0m), PROMPT (16""), ISON-NM Observatory (0.45m), MPI/ESO (2.2m), Fermi (GBM), NOT, VLT",~2.8 (UVOT: photometric)|2.106 (VLT: absorption),,UVOT: The non-detection in the UV filters suggests a photometric redshift of  z~2.8,"BAT: GCN 11009; GCN 11023|XRT: GCN 11009; GCN 11017; GCN 11022; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 11009; GCN 11026; GCN 11028; GCN 11029|Redshift: GCN 11026 (UVOT); GCN 11317 (VLT)",12.1,3.895685769478429
100418A,0.624,100418A,100418A,21:10:08,419797,256.358,11.457,7.0,3.4,17:05:27.22,11:27:40.0,79.13,127,17:05:26.96,11:27:41.9,87,V>19.90,"ESO/MP (2.2m), SARA (0.9m), VLT, Gemini North, ROVOR (16""), PAIRITEL (1.3m), SMA @ 345 GHz, AZT-11, RTT150, REM (60cm), WSRT @ 4.8 GHz, EVLA, Z-600, Russian-Turkish (1.5m), Keck I (10m), Shajn",0.6235 (VLT: absorption)|0.624 (Gemini North: absorption),"g,r,and i bands (SDSS)",UVOT: possible evidence for a supernova,"BAT: GCN 10612; GCN 10615|XRT: GCN 10612; GCN 10614; GCN 10622; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10612; GCN 10625; GCN 10645; GCN 10661; GCN 10720|Radio: GCN 10630 (SMA); GCN 10647 (WSRT); GCN 10650 (EVLA)|Redshift: GCN 10620 (VLT); GCN 10624 (Gemini North)|Host: GCN 10621 (SDSS)",7.0,4.310344827586206
100219A,4.6667,100219A,100219A,15:15:46,412982,154.202,-12.555,18.8,3.7,10:16:48.52,-12:33:59.6,178.56,,10:16:48.54,-12:33:57.9,183,V>19.7,"NOT, MPI/ESO (2.2m), MITSuME (50cm), VLT, Gemini South, Gunma Astronomical Observatory (150cm)",4.5 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption),Palomar: potential (lowish redshift) host candidate.|UVOT: The fading observed suggests that this is the afterglow of GRB 100219A superimposed on the host galaxy candidate (GCN 10433).,,"BAT: GCN 10430; GCN 10434|XRT: GCN 10430; GCN 10437; GCN 10444; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10430; GCN 10432; GCN 10436|Redshift: GCN 10439 (MPI/ESO); GCN 10441 (VLT); GCN 10443 (Gemini South); GCN 10445 (VLT)|Host: GCN 10433 (Palomar); GCN 10432 (UVOT)",18.8,3.3176275433673923
091208B,1.0633,091208B,091208B,09:49:57,378559,29.411,16.881,14.9,33,01:57:34.13,16:53:23.1,115.14,,01:57:34.09,16:53:22.82,119,,"BOOTES-3, MITSuME (50cm), Faulkes (2m), Gemini North, Fermi (GBM), NOT, ESO/MPI (2.2m), Keck I, Z-600, Gunma Astronomical Observatory (150cm), Xinglong TNT",1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption),,,"BAT: GCN 10256; GCN 10265|XRT: GCN 10256; GCN 10259; GCN 10268; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10256; GCN 10267|Redshift: GCN 10263 (Gemini North); GCN 10272 (Keck I)|Other: GCN Report 266.1",14.9,7.221441380313091
091127,0.49034,091127,091127,23:25:45,377179,36.581,-18.948,7.1,90,02:26:19.91,-18:57:08.1,3214.62,,02:26:19.89,-18:57:08.63,3219,V=17.0,"Liverpool (2m), REM (60cm), ESO/MPI (2.2m), NOT, CAHA (1.23m), TAROT (25cm), Gemini-North, MASTER II, Fermi (GBM), Mt.Terskol (Z-600), Konus-Wind, PROMPT (16""), Suzaku, VLT, Zadko (1.0m), CTIO (1.3m), Gunma Astronomical Observatory (150cm)",0.490 (Gemini-North: emission)|0.49034 (VLT: emission),,"Due to an observing constraint, Swift will not slew until T0+50 minutes.","BAT: GCN 10191; GCN 10197|XRT: GCN 10201; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10193; GCN 10199; GCN 10245|Redshift: GCN 10202 (Gemini-North); GCN 10233 (VLT)",7.1,4.764013580793645
091109A,3.076,091109A,091109A,04:57:43,375246,309.252,-44.177,48,16,20:37:01.87,-44:09:31.0,150.68,,20:37:01.80,-44:09:29.6,156,V>19.94,"Faulkes South (2m), ESO/MPI (2.2m), VLT",3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption),,,"BAT: GCN 10138; GCN 10141|XRT: GCN 10138; GCN 10140; GCN 10145; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10138; GCN 10143|Redshift: GCN 10158 (ESO/MPI); GCN 10246 (ESO/MPI); GCN 10350 (VLT)|Other: GCN Report 258.1",48.0,11.776251226692835
091024,1.091,091024,091024,08:56:01,373674,339.24,56.885,109.8,61,,,3192.00,10,,,~3000,,"Faulkes North (2m), RAS Observatory, Gemini-North, Xinglong TNT, Fermi (GBM), SRO (35cm), Super-LOTIS (0.6m), KAIT, Konus-Wind, Konus-RF, Yunnan Observatory (2.4m), SAO RAS, ZTE",1.092 (Gemini-North)|1.091 (Keck I: absorption),,"Due to an observing constraint, Swift will not slew until T0+50.0 minutes. There will be no XRT or UVOT data until this time.|UVOT: no detection","BAT: GCN 10062; GCN 10072; GCN 10086|XRT: GCN 10069; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10078|Redshift: GCN 10065 (Gemini North); GCN 10093 (Keck I)",109.8,52.51076040172166
091018,0.971,091018,091018,20:48:19,373172,32.191,-57.546,4.4,14,02:08:44.57,-57:32:53.4,61.49,44,02:08:44.61,-57:32:53.8,68,V=16.4,"ROTSE-III, Magellan Clay, ESO/MPI (2.2m), VLT, BOOTES-3, Faulkes South, Konus-RF, PROMPT (16""), miniTAO (1.0m), CTIO (1.3m)",0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption),,,"BAT: GCN 10034; GCN 10040|XRT: GCN 10034; GCN 10037; GCN 10055; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 10034; GCN 10041|Redshift: GCN 10038 (Magellan Clay); GCN 10042 (VLT)",4.4,2.2323693556570268
090915,20112.0,090915,090915,15:35:36,Ground Analysis|20112,237.99,15.48,8,5,15:52:04.87,15:29:15.4,,,15:52:04.84,15:29:15.8,44647,V=21.08,SARA (0.9m),,,This was probably the same event as Fermi-GBM trigger 274721737. A Swift TOO has been requested and approved. The narrow-field instruments will observe the location approximately 13 hours after the burst.,"BAT: GCN 9912|XRT: GCN 9914; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9918",8.0,0.0003977526972604783
090618,0.54,090618,090618,08:28:29,355083,294.008,78.352,113.2,1050,19:35:58.47,78:21:24.4,120.90,31500,19:35:58.69,78:21:24.3,129,V=15.60,"Palomar (60""), KAIT, ROTSE-IIIb, Lick (3m), Observatorio Astrofisico Guillermo Haro (2.1m), Faulkes North, Mt. Lemmon (1.0m), AGILE , SARA (0.9m), Liverpool, AMI Large Array @ 14.6 to 17.5 GHz, VLA @ 8.46 GHz, Fermi GBM, OAUV (0.4m), WSRT @ 4.9 GHz, Shajn, BOAO (15.5cm), SAO RAS (6m), RTT150, Konus-Wind, PAIRITEL (1.3m), AGILE , Suzaku, SARA (0.9m), HCT (2m), Sayan Observatory (1.5m), CORONAS-PHOTON",0.54 (Lick: absorption)|0.54 (SAO RAS: emission),"r = 22.7, i = 22.2 (SDSS)",,"BAT: GCN 9512; GCN 9530; GCN 9534|XRT: GCN 9512; GCN 9521; GCN 9528; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9512; GCN 9527|Radio: GCN 9532 (AMI Large Array); GCN 9533 (VLA); GCN 9538 (WSRT)|Redshift: GCN 9518 (Lick); GCN 9542 (SAO RAS)|Host: GCN 9526 (SDSS)|Other: GCN Report 232.1",113.2,73.50649350649351
090519,3.85,090519,090519,21:08:56,352648,142.317,0.19,64,12,09:29:06.98,00:10:48.4,114.92,57.7,,,106,V>19.8,"NOT, ESO/MPI (2.2m), VLT",3.9 (ESO/MPI: photometric)|3.85 (VLT: absorption),,UVOT: no detection,"BAT: GCN 9400; GCN 9406|XRT: GCN 9400; GCN 9405; GCN 9411; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9400; GCN 9407|Redshift: GCN 9408 (ESO/MPI); GCN 9409 (VLT)|Other: GCN Report 219.1",64.0,13.195876288659795
090516A,4.1,090516A,090516A,08:27:50,352190,138.246,-11.848,210,90,09:13:02.52,-11:51:15.9,170,1960,,,171,V>19.63,"Faulkes South (2m), NOT (2.5m), Zadko (1.0m), VLT, ESO/MPI (2.2m), Stardome (0.4m), Fermi (GBM), Konus-Wind",4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric),,UVOT: no detection,BAT: GCN 9374; GCN 9384|XRT: GCN 9374; GCN 9376; GCN 9378|UVOT: GCN 9374; GCN 9377|Redshift: GCN 9381; GCN 9383 (VLT); GCN 9382 (ESO/MPI)|Other: GCN Report 228.1,210.0,41.1764705882353
090426,2.609,090426,090426,12:48:47,350479,189.082,32.978,1.2,1.8,12:36:18.07,32:59:08.8,84.62,,12:36:18.07,32:59:09.6,89,V=19.04,"TNT, Keck-I, MITSuME (50cm), Okayama Astrophysical Observatory (188cm), ESO/MPI (2.2m), VLT, Gao-Mei-GU (2.4m), Gunma Astronomical Observatory (150cm), AZT-11",2.609 (Keck-I: absorption)|2.609 (VLT: absorption),,,"BAT: GCN 9254; GCN 9263; GCN 9272|XRT: GCN 9254; GCN 9259; GCN 9262; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9254; GCN 9265|Redshift: GCN 9264 (Keck-I); GCN 9269 (VLT)",1.2,0.3325020781379884
